category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Sports||Journalist Broadcaster,Sports||Journalist Broadcaster,journalist,Ivan Maisel,0.0010545965865011,0.0025542784163473,0.0023890784982935,0.0039300976800976
Politics / Government,Politics / Government,politician,Ivan Raiklin,0.000303044996121,0.000571351751025,0.0002482159478746,0.0011446886446886
News Media,News Media,journalist,Ivan Watson,0.0002666795965865,0.0024198427102238,0.0039094011790257,0.0013736263736263
Authors||Business & Money,Authors||Business & Money,,Ivanka Trump,0.0195888285492629,0.040599583249311,0.0329816940738442,0.056280525030525
Sports||Journalist Broadcaster,Sports||Journalist Broadcaster,journalist,Ives Galarcep,0.0008727695888285,0.0017476641796061,0.0026062674526838,0.0015262515262515
Motivational / Leadership,Motivational / Leadership,,Iyanla Vanzant,0.005636636927851,0.0079317066612892,0.010207880856345,0.0038156288156288
Music||Latino ,Music||Latino ,,J Balvin,0.0034789565554693,0.002050144518384,0.0026993484331368,0.0011828449328449
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,J. Cole,0.0272619278510473,0.0214088862001747,0.0251628917157927,0.0153769841269841
News Media,News Media,journalist,J. David Mcswane,0.0002788013964313,0.00265510519594,0.004126590133416,0.0019459706959706
Authors||Religion & Spirituality,Authors||Religion & Spirituality,,J. Warner Wallace,0.0010061093871218,0.0016132284734825,0.0006825938566552,0.003586691086691
Authors||Religion & Spirituality,Authors||Religion & Spirituality,,J.d. Greear,0.000836404189294,0.0016132284734825,0.0008377288240769,0.003319597069597
Film / Tv,Film / Tv,,J.d. Harmeyer,0.0018910007757951,0.0036969819183975,0.0031957803288861,0.002785409035409
Politics / Government,Politics / Government,politician,J.j. Abbott (Political Influencer),0.000145461598138,0.0021509712979767,0.0029785913744958,0.0011828449328449
Authors||Literature And Fiction,Authors||Literature And Fiction,,J.k. Rowling,0.0186554499612102,0.0332392283390468,0.036704933291964,0.0303724053724053
Sports||Basketball,Sports||Basketball,,J.r. Smith,0.0057457331264546,0.0063184781878066,0.0064846416382252,0.0063721001221001
